subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
585,1,Warmup,SCML,5,36.616018029086455,20.078661530391408,54.83573204066493
585,1,Warmup,SCMR,5,28.212341760115798,22.025538626420637,78.07057922982652
585,1,Warmup,STL,5,102.24472793914308,58.49523955181678,57.21100806941717
585,1,Warmup,STR,5,96.8423646233762,23.349023135977387,24.110339753456728
585,1,Warmup,UTL,5,40.21759357293103,25.666636903506536,63.81942484192241
585,1,Warmup,UTR,5,57.62520870151312,9.427499341727922,16.36002637415242
586,0,CoolDown,MTL,11,53.6598378288653,22.250564390910416,41.46595534237926
586,0,CoolDown,MTR,11,56.8430485475268,23.665450229377157,41.63297154900188
586,0,CoolDown,SCML,11,113.77704597272962,44.1919277034262,38.84081127753856
586,0,CoolDown,SCMR,11,105.4097492265337,39.91802086612959,37.86938225262511
586,0,CoolDown,STL,11,98.5885834008305,33.160739070483466,33.63547575854926
586,0,CoolDown,STR,11,113.14040382899734,8.576435763898004,7.58034749183024
586,0,CoolDown,UTL,11,46.111080981753744,17.19155130883108,37.282906717441335
586,0,CoolDown,UTR,11,49.93093384414754,6.174484407430396,12.36605032604275
586,0,Warmup,MTL,10,67.62958543990548,17.659920892493012,26.11271498652808
586,0,Warmup,MTR,10,56.02450864844241,19.773939807109905,35.295159715175224
586,0,Warmup,SCML,10,125.95510069355177,21.245793227083276,16.867751373383598
586,0,Warmup,SCMR,10,99.84367791275987,34.06323306428005,34.116564790455115
586,0,Warmup,STL,10,125.7550131626645,5.928994159411068,4.714717934737039
586,0,Warmup,STR,10,120.35264982870754,14.227100502226781,11.821177616342943
586,0,Warmup,UTL,10,43.41899420254287,15.65009123904026,36.04434309563923
586,0,Warmup,UTR,10,58.425559019089945,8.5698319734185109,14.667950323964222
587,0,Warmup,MTL,40,52.07279637800829,6.091538480235093,11.698120523459558
587,0,Warmup,MTR,40,48.59627442962061,7.08100885070995,14.571094047476823
587,0,Warmup,SCML,40,50.24699708137303,10.303844865786585,20.5063893651195
587,0,Warmup,SCMR,40,50.722205117483576,6.687007254265689,13.183589393988562
587,0,Warmup,STL,40,76.58352666160489,7.811863688894399,10.200449142819213
587,0,Warmup,STR,40,81.88584790662783,8.19535973859581,10.008273649362161
587,0,Warmup,UTL,40,47.02058462567511,6.411935116530003,13.636442778358887
587,0,Warmup,UTR,40,70.45584409070574,17.58520080707036,24.959179801225506
590,0,Warmup,MTL,9,98.04289013477423,39.78548232590995,40.57967107173097
590,0,Warmup,MTR,9,51.022320376260055,20.931632767330438,41.02446265276015
590,0,Warmup,SCML,9,44.46389575273208,20.288860284467308,45.62996548322166
590,0,Warmup,SCMR,9,47.02056975851417,20.21404024543728,42.9897815982484
590,0,Warmup,STL,9,74.81050460397172,31.876060729036148,42.6090706081721
590,0,Warmup,STR,9,56.580307345351564,22.3150927301092,39.439681007569725
590,0,Warmup,UTL,9,44.24157627396841,18.179205973236876,41.090773666519326
590,0,Warmup,UTR,9,54.35711255771496,14.201282101750227,26.125894907812985
591,0,CoolDown,MTL,40,85.46242141052187,18.258231817841242,21.36404693021411
591,0,CoolDown,MTR,40,109.69803345231165,15.020331326637114,13.692434452953808
591,0,CoolDown,SCML,40,53.39838153686397,18.585333101323545,34.80504945359256
591,0,CoolDown,SCMR,40,129.781827538542,23.953784364674743,18.456963366123862
591,0,CoolDown,STL,40,79.5598368471964,6.971801663209522,8.76296626474945
591,0,CoolDown,STR,40,75.08287652162325,18.097374398849414,24.103198008986137
591,0,CoolDown,UTL,40,93.6660135154827,12.505090979967594,13.350724035992565
591,0,CoolDown,UTR,40,86.537892326721,15.317169243955055,17.69995643772508
591,0,Warmup,MTL,8,68.65503403570287,16.952179153621223,24.691822517785855
591,0,Warmup,MTR,8,69.90558110374846,31.448213046959108,44.98669855885484
591,0,Warmup,SCML,8,92.16531891495997,32.94046374729273,35.74062796623812
591,0,Warmup,SCMR,8,159.19464176220353,64.27638143765792,40.37597040085718
591,0,Warmup,STL,8,88.16356829721407,5.892945384866493,6.6841048958004885
591,0,Warmup,STR,8,129.1815121291094,9.572550685073052,7.410155313483129
591,0,Warmup,UTL,8,58.15043866411992,22.30926299450137,38.3647372350205
591,0,Warmup,UTR,8,67.27943226085273,14.999417131065831,22.29420883474578
595,0,CoolDown,MTL,24,51.64760111519259,8.16931724458941,15.817418560000329
595,0,CoolDown,MTR,24,50.27199914844412,12.788907588146076,25.439425136809753
595,0,CoolDown,SCML,24,145.64706884300477,24.20889899966653,16.62161771738893
595,0,CoolDown,SCMR,24,175.9936819276377,13.396048902720004,7.611664666591826
595,0,CoolDown,STL,24,75.6581081711659,10.754074038773128,14.214040370192096
595,0,CoolDown,STR,24,60.40143181268286,4.180580025320465,6.92132603459682
595,0,CoolDown,UTL,24,44.97801582186667,10.957178653301085,24.361187244667438
595,0,CoolDown,UTR,24,93.74935827931246,9.405684582934665,10.032798896512771
595,0,Warmup,MTL,9,41.01794383189534,15.770781903664947,38.448494562035236
595,0,Warmup,MTR,9,38.01663086858593,15.651334726674655,41.16970486095267
595,0,Warmup,SCML,9,109.15886407295724,54.126461163664985,49.58503519007775
595,0,Warmup,SCMR,9,150.51028712299808,68.00421348535497,45.18243555656859
595,0,Warmup,STL,9,63.583370926406864,29.142248784176026,45.8331295739354
595,0,Warmup,STR,9,50.91116063687822,19.017820140952498,37.35491374199132
595,0,Warmup,UTL,9,54.35711255771496,25.784327626491084,47.43505755408542
595,0,Warmup,UTR,9,88.59431228731867,14.122756301614535,15.940928866644699
596,0,CoolDown,MTL,8,94.1661942238329,21.882174550631394,23.237824073698356
596,0,CoolDown,MTR,8,68.78008874250743,30.540865660275593,44.403643872301004
596,0,CoolDown,SCML,8,189.2077713952977,40.53734965052874,21.424780468365157
596,0,CoolDown,SCMR,8,82.41105178420435,46.55126816569679,56.48668128589427
596,0,CoolDown,STL,8,88.78884183123687,9.666378694961047,10.886929591146341
596,0,CoolDown,STR,8,126.55536328621368,20.558585204326302,16.24473643035708
596,0,CoolDown,UTL,8,54.14868804637403,5.113499041588341,9.443440323446131
596,0,CoolDown,UTR,8,61.151751627429334,3.183373123228769,5.20569409462489
596,0,Warmup,MTL,11,113.77704597272962,21.156789017279234,18.594953697734557
596,0,Warmup,MTR,11,50.20378047717567,15.328704186086535,30.532967916739818
596,0,Warmup,SCML,11,151.70272796363952,41.04544110503073,27.056495065051568
596,0,Warmup,SCMR,11,73.21384652921452,24.217279941605042,33.077458827329366
596,0,Warmup,STL,11,84.30960960569175,8.054497511528636,9.553475041811694
596,0,Warmup,STR,11,89.3117978778741,45.6293700778161,51.08996925603287
596,0,Warmup,UTL,11,50.84042262090797,9.891876893076512,19.45671649277067
596,0,Warmup,UTR,11,50.02188272182359,5.081593048512464,10.158740079360234
598,1,CoolDown,MTL,29,52.505735025775685,11.878399149842886,22.623050880083177
598,1,CoolDown,MTR,29,48.98695383482357,10.706763690186035,21.85635736054866
598,1,CoolDown,SCML,29,105.87391642188275,49.543009356786236,46.79434843929731
598,1,CoolDown,SCMR,29,72.92846507522326,45.795380199654154,62.79493220160024
598,1,CoolDown,STL,29,112.60099811046769,22.661921148767014,20.12586169665605
598,1,CoolDown,STR,29,76.68873124986817,6.328882407124374,8.252688894413355
598,1,CoolDown,UTL,29,98.49137549184597,24.927320130661215,25.309140019802985
598,1,CoolDown,UTR,29,70.92758949605441,15.012151171700408,21.165460828942326
598,1,Warmup,MTL,16,45.64497473682586,7.5476164507927,16.535481713616477
598,1,Warmup,MTR,16,43.08135286804522,8.563098916071514,19.876578486983938
598,1,Warmup,SCML,16,57.90033781685033,13.316850599501707,22.99960777711766
598,1,Warmup,SCMR,16,62.15219847726699,27.526587543601284,44.289000579230525
598,1,Warmup,STL,16,99.79367079448504,36.53173671139055,36.607268197022194
598,1,Warmup,STR,16,81.84831771302062,8.145790016748961,9.952299869265499
598,1,Warmup,UTL,16,53.335840343167746,15.39382524865412,28.862065638431528
598,1,Warmup,UTR,16,53.64847715643368,9.102518041342371,16.966964439270708
600,0,CoolDown,MTL,14,53.30903698939716,9.639317867110782,18.081958353567675
600,0,CoolDown,MTR,14,89.18187421282526,30.90752729404135,34.6567366596076
600,0,CoolDown,SCML,14,92.96924547346609,46.64404601315572,50.17147958511525
600,0,CoolDown,SCMR,14,112.2634009522023,50.603647683378036,45.07581923776141
600,0,CoolDown,STL,14,76.89078257451922,21.984629057942833,28.59202146451856
600,0,CoolDown,UTL,14,88.75311520218668,26.101289353655833,29.40887122012001
600,0,CoolDown,UTR,14,75.8903448830292,12.188910137558345,16.061213262827142
