subject,phase,angle,muscle,r,p,n
subject_570,WanT,Sagittal,STL,0.04451020224890568,0.8186632345312183,29
subject_570,WanT,Sagittal,STR,-0.006469506140829314,0.9734296661220022,29
subject_570,WanT,Sagittal,UTL,0.4445844619977905,0.015676456754439523,29
subject_570,WanT,Sagittal,UTR,0.1614788732750997,0.4026757935729882,29
subject_570,WanT,Frontal,MTL,-0.06766649524509584,0.7272645408752844,29
subject_570,WanT,Frontal,MTR,-0.2977325790784217,0.11673487625077292,29
subject_570,WanT,Frontal,SCML,0.18946618668626836,0.32492864495610696,29
subject_570,WanT,Frontal,SCMR,0.4601321676666517,0.01201990378117053,29
subject_570,WanT,Frontal,STL,0.10826639239215334,0.5761385706520857,29
subject_570,WanT,Frontal,STR,0.24359938288234503,0.20287425841463574,29
subject_570,WanT,Frontal,UTL,0.5007320648137092,0.005663721289343538,29
subject_570,WanT,Frontal,UTR,0.10826639239215334,0.5761385706520857,29
subject_570,WanT,Horizontal,MTL,0.31388241028717223,0.09728411220068629,29
subject_570,WanT,Horizontal,MTR,0.1726353256579447,0.3705058904967107,29
subject_570,WanT,Horizontal,SCML,0.36096477183024805,0.05438252938795328,29
subject_570,WanT,Horizontal,SCMR,0.42374125388768247,0.02198226065476825,29
subject_570,WanT,Horizontal,STL,0.37665889234460664,0.04400822646312527,29
subject_570,WanT,Horizontal,STR,0.23541180771537917,0.2189464908505413,29
subject_570,WanT,Horizontal,UTL,0.4394353744020411,0.01707390045156036,29
subject_570,WanT,Horizontal,UTR,0.25110592822973776,0.18886822544294546,29
subject_570,Warmup,Sagittal,MTL,0.14663786837958226,0.2594492751192956,61
subject_570,Warmup,Sagittal,MTR,0.02402353273112339,0.8541902782267528,61
subject_570,Warmup,Sagittal,SCML,0.6156515726348978,1.288238900153182e-07,61
subject_570,Warmup,Sagittal,SCMR,0.051375961452702686,0.6941586509053401,61
subject_570,Warmup,Sagittal,STL,0.32334676387294947,0.011026517454137469,61
subject_570,Warmup,Sagittal,STR,0.3529461973880865,0.00527128722665942,61
subject_570,Warmup,Sagittal,UTL,0.24120625530845022,0.061115152787701944,61
subject_570,Warmup,Sagittal,UTR,0.1247226364424143,0.3382095237009967,61
subject_570,Warmup,Frontal,MTL,0.40829933107048416,0.0010885701222849136,61
subject_570,Warmup,Frontal,MTR,0.1286142892872025,0.32323152128425003,61
subject_570,Warmup,Frontal,SCML,0.3511374247206164,0.005525527016641458,61
subject_570,Warmup,Frontal,SCMR,0.12044830266579282,0.35515220276924436,61
subject_570,Warmup,Frontal,STL,0.2286476253994711,0.07632615655492225,61
subject_570,Warmup,Frontal,STR,0.5675360701879729,1.8459341329451394e-06,61
subject_570,Warmup,Frontal,UTL,0.044912926417753254,0.7310735822354176,61
subject_570,Warmup,Frontal,UTR,0.2817265384386341,0.027835457873432654,61
subject_570,Warmup,Horizontal,MTL,,,61
subject_570,Warmup,Horizontal,MTR,,,61
subject_570,Warmup,Horizontal,SCML,,,61
subject_570,Warmup,Horizontal,SCMR,,,61
subject_570,Warmup,Horizontal,STL,,,61
subject_570,Warmup,Horizontal,STR,,,61
