subject,phase,angle,muscle,r,p,n
subject_570,Cooldown,Horizontal,MTR,0.20381672030718143,0.11513757985501216,61
subject_570,Cooldown,Horizontal,SCML,-0.14055585576037463,0.2799462011623909,61
subject_570,Cooldown,Horizontal,SCMR,-0.18587707215211682,0.15150219170485474,61
subject_570,Cooldown,Horizontal,STL,-0.06077163107074519,0.6417504821076025,61
subject_570,Cooldown,Horizontal,STR,0.25647688367145,0.046019046621585576,61
subject_570,Cooldown,Horizontal,UTL,-0.20162791156098933,0.11917707965853376,61
subject_570,Cooldown,Horizontal,UTR,0.019785114352834414,0.8797038704291174,61
subject_570,Second_threshold,Sagittal,MTL,-0.11317806375154857,0.39339107157067543,59
subject_570,Second_threshold,Sagittal,MTR,0.05133850314503235,0.6993811127718834,59
subject_570,Second_threshold,Sagittal,SCML,0.2692182868801997,0.03921747777022681,59
subject_570,Second_threshold,Sagittal,SCMR,0.30981551229502147,0.01694496542817568,59
subject_570,Second_threshold,Sagittal,STL,-0.34104414722949966,0.008209709514110554,59
subject_570,Second_threshold,Sagittal,STR,0.08181216009208364,0.5378948092752519,59
subject_570,Second_threshold,Sagittal,UTL,0.012045330617584463,0.9278536796813894,59
subject_570,Second_threshold,Sagittal,UTR,0.09821577272799638,0.4592634275924265,59
subject_570,Second_threshold,Frontal,MTL,0.2122236500016281,0.10659618639576797,59
subject_570,Second_threshold,Frontal,MTR,0.10465823835696726,0.43019098945467527,59
subject_570,Second_threshold,Frontal,SCML,0.32560340822167594,0.011853313196239121,59
subject_570,Second_threshold,Frontal,SCMR,0.4942194589079009,6.941892652965216e-05,59
subject_570,Second_threshold,Frontal,STL,-0.27327428904319234,0.0362429651653607,59
subject_570,Second_threshold,Frontal,STR,-0.03779325274001596,0.7762679852023866,59
subject_570,Second_threshold,Frontal,UTL,0.2819958089062729,0.030477402477905972,59
subject_570,Second_threshold,Frontal,UTR,0.28781015548166,0.02707661598152288,59
subject_570,Second_threshold,Horizontal,MTL,,,59
subject_570,Second_threshold,Horizontal,MTR,,,59
subject_570,Second_threshold,Horizontal,SCML,,,59
subject_570,Second_threshold,Horizontal,SCMR,,,59
subject_570,Second_threshold,Horizontal,STL,,,59
subject_570,Second_threshold,Horizontal,STR,,,59
subject_570,Second_threshold,Horizontal,UTL,,,59
subject_570,Second_threshold,Horizontal,UTR,,,59
subject_570,Vo2max,Sagittal,MTL,-0.28783604113625066,0.02706221989220556,59
subject_570,Vo2max,Sagittal,MTR,-0.10718725341396505,0.4190693926715742,59
subject_570,Vo2max,Sagittal,SCML,-0.3199619504894479,0.01349580042815607,59
subject_570,Vo2max,Sagittal,SCMR,-0.26647641903600916,0.04134038444082623,59
subject_570,Vo2max,Sagittal,STL,-0.12880630412271155,0.33091672621505885,59
subject_570,Vo2max,Sagittal,STR,-0.18056231151945062,0.17114657045084428,59
subject_570,Vo2max,Sagittal,UTL,-0.2261785085149057,0.08497204342896536,59
subject_570,Vo2max,Sagittal,UTR,-0.38287338805190024,0.0027631162609759023,59
subject_570,Vo2max,Frontal,MTL,,,59
subject_570,Vo2max,Frontal,MTR,,,59
subject_570,Vo2max,Frontal,SCML,,,59
subject_570,Vo2max,Frontal,SCMR,,,59
subject_570,Vo2max,Frontal,STL,,,59
subject_570,Vo2max,Frontal,STR,,,59
subject_570,Vo2max,Frontal,UTL,,,59
subject_570,Vo2max,Frontal,UTR,,,59
subject_570,Vo2max,Horizontal,MTL,0.223606797749979,0.08867334385123035,59
subject_570,Vo2max,Horizontal,MTR,0.2081856392844632,0.11358547733901377,59
subject_570,Vo2max,Horizontal,SCML,0.17734332235343164,0.1790347207135418,59
subject_570,Vo2max,Horizontal,SCMR,0.17734332235343164,0.1790347207135418,59
subject_570,Vo2max,Horizontal,STL,-0.09252695079309474,0.48580035179766123,59
subject_570,Vo2max,Horizontal,STR,0.18505390158618948,0.16056757089996215,59
subject_570,Vo2max,Horizontal,UTL,0.223606797749979,0.08867334385123035,59
subject_570,Vo2max,Horizontal,UTR,0.223606797749979,0.08867334385123035,59
subject_570,WanT,Sagittal,MTL,0.048650686179036444,0.8021111107816754,29
subject_570,WanT,Sagittal,MTR,-0.27042535668666534,0.1559508657099173,29
subject_570,WanT,Sagittal,SCML,-0.05874311575873017,0.762127798366106,29
subject_570,WanT,Sagittal,SCMR,0.16432545597706458,0.39432137000383466,29
