angle,muscle,phase,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Sagittal,UTR,Second_threshold,0.027341988043451664,-0.0024013220515859703,0.2505686836619356,-0.4364650968099766,0.45997362997983815,0.5297477553494707,55,1.0,False
Frontal,MTL,Second_threshold,-0.009727755179649515,-0.02759308254188444,0.2059776451535533,-0.3561079766588719,0.3714709454220742,0.6872215416441787,44,1.0,False
Frontal,MTR,Second_threshold,-0.00858703472211342,-0.023507622090534794,0.18908841141559127,-0.334337581606339,0.2634402622272393,0.8397749013727207,44,1.0,False
Frontal,SCML,Second_threshold,0.07963828229531612,0.07983221674677829,0.23709240702638598,-0.28554778958003835,0.4702500028784899,0.04331700619422918,44,1.0,False
Frontal,SCMR,Second_threshold,0.1355702933194334,0.11947772032495374,0.26613570841663237,-0.3601668606978604,0.6572484263787165,0.0013584922321570048,44,0.16301906785884057,False
Frontal,STL,Second_threshold,-0.040783959036913654,-0.06215903688224071,0.2535165931115363,-0.5228954600115149,0.4054983113536096,0.36317390941087524,44,1.0,False
Frontal,STR,Second_threshold,0.027245405565047717,0.027499106293567957,0.28843097931890477,-0.41940522354431,0.579773344717825,0.5780458969113624,43,1.0,False
Frontal,UTL,Second_threshold,0.0067066587775755785,-0.0018062316876222583,0.22429666786723734,-0.4358657791774781,0.41005334336719623,0.8038158843239671,44,1.0,False
Frontal,UTR,Second_threshold,0.00558316175483522,0.010332398687457722,0.22722679524453582,-0.45583537929702717,0.35966848823517655,0.7418974469496789,44,1.0,False
Horizontal,MTL,Second_threshold,-0.017859366402429255,-0.01798743732768248,0.17788577959586901,-0.38038935948545,0.2252454862954335,0.7765688337385654,30,1.0,False
Horizontal,MTR,Second_threshold,0.0047245510951005555,0.016217400876057535,0.1950362618795226,-0.3066018174959706,0.36166534210321327,0.7942198486998677,31,1.0,False
Horizontal,SCML,Second_threshold,-0.040825449642720495,-0.07701853998110467,0.1722284711630262,-0.3133360996633475,0.29686767391510377,0.15165852662175894,31,1.0,False
Horizontal,SCMR,Second_threshold,-0.06622818832240983,-0.07079101597238471,0.21313965553992317,-0.5169833604387123,0.27134575871959904,0.10593144192232623,31,1.0,False
Horizontal,STL,Second_threshold,0.00859934570048509,-0.000670713409579178,0.2096716838817381,-0.3447202779538011,0.3814720216637463,0.7352173123508692,31,1.0,False
Horizontal,STR,Second_threshold,0.0008786717468586309,0.019588516015298565,0.1904500462782935,-0.3522886248520362,0.3117035781631146,0.8078304156661034,30,1.0,False
Horizontal,UTL,Second_threshold,-0.01803953452604568,-0.006857254813237416,0.1297179046014754,-0.23157090620061394,0.20835064735131664,0.5551384268328547,31,1.0,False
Horizontal,UTR,Second_threshold,-0.0037590720277303835,0.0061557405193378,0.17489464855008569,-0.3346070176728542,0.2587894185087878,0.9614869365468621,31,1.0,False
Sagittal,MTL,Vo2max,0.04070011017121589,0.010802152703049434,0.3451248760792008,-0.6569933844393551,0.6580198454789075,0.4628648800752124,56,1.0,False
Sagittal,MTR,Vo2max,-0.00026113074521556204,-0.007389056068418158,0.2900182671092112,-0.47154875003302416,0.5574125419486953,0.9588124766374582,57,1.0,False
Sagittal,SCML,Vo2max,0.29091557652603106,0.3025418498148133,0.35283547448514285,-0.4876708619611179,0.8706076888240598,1.281483103436723e-06,57,0.00015377797241240674,True
Sagittal,SCMR,Vo2max,0.226007508504223,0.26110068511864837,0.4051673240370408,-0.49120904298487933,0.8309648138417294,0.00019951443989958884,56,0.02394173278795066,True
Sagittal,STL,Vo2max,-0.0762442562373795,-0.10002411484477008,0.31391765665953053,-0.6967088131598025,0.4638624440442561,0.06945016936019632,57,1.0,False
Sagittal,STR,Vo2max,-0.04199657446570394,-0.08240953825522475,0.3578715409910302,-0.5921626664301191,0.6145801076874835,0.270806837447754,56,1.0,False
Sagittal,UTL,Vo2max,0.18775461135349,0.22217535014075487,0.3337315588747333,-0.3814808324289503,0.7421092279250315,0.00030490449929178006,57,0.03658853991501361,True
Sagittal,UTR,Vo2max,0.11794594899722619,0.11312111256006616,0.33292064212078853,-0.37405030095639885,0.715268297730819,0.01770911500920644,57,1.0,False
Frontal,MTL,Vo2max,0.10355948945813714,0.09316016664891993,0.2659597344010455,-0.4526421683862304,0.5980367235602073,0.008327916413998453,47,0.9993499696798144,False
Frontal,MTR,Vo2max,0.03127048630760108,-0.004264356111024438,0.23579403450332484,-0.3766941348897955,0.3831974430228581,0.4361136998094395,48,1.0,False
Frontal,SCML,Vo2max,0.14038748267904577,0.1638726869633506,0.2807060609423739,-0.33831656327480386,0.6625660095521074,0.0014432111307058904,48,0.17318533568470684,False
Frontal,SCMR,Vo2max,0.10297044717177711,0.14175928110675615,0.3470022826910711,-0.6243326389127613,0.7221859188738655,0.02953668383963759,47,1.0,False
Frontal,STL,Vo2max,0.09318477349035781,0.12115107915724185,0.2462401487766455,-0.34935201581932224,0.512674518660475,0.020335466672541713,48,1.0,False
Frontal,STR,Vo2max,-0.051796342741634784,-0.027690740014787548,0.2731319184541618,-0.49683979896437275,0.5048468074330846,0.18949324780292898,47,1.0,False
Frontal,UTL,Vo2max,0.06389240026665925,0.06118566320675456,0.27731194452042507,-0.5242765089695438,0.5596733359113449,0.08647186072752443,48,1.0,False
Frontal,UTR,Vo2max,0.07552012678725302,0.06193813535050166,0.2673768118994943,-0.42383212232845385,0.616319809034408,0.08585363117794031,48,1.0,False
Horizontal,MTL,Vo2max,-0.03169873072148725,-0.02325738630154828,0.22707137830599022,-0.46224812062518617,0.349554136581507,0.4877114732859721,43,1.0,False
Horizontal,MTR,Vo2max,-0.09748928670674474,-0.052525407770578195,0.2225415516579228,-0.47166931360420894,0.24953522086310495,0.017059172380072596,44,1.0,False
Horizontal,SCML,Vo2max,-0.05669338574536437,-0.05906576592960571,0.2490826546658645,-0.48619124553524756,0.42100538800917714,0.1014516336615543,44,1.0,False
Horizontal,SCMR,Vo2max,-0.053657532245921825,-0.028589667595674533,0.26484252035642136,-0.6137812722872764,0.39832630221733917,0.23243889814147034,43,1.0,False
Horizontal,STL,Vo2max,0.0002084873886851014,0.0001462503450565542,0.17201908052662584,-0.30393136551934913,0.29386603510280945,0.876064671364702,44,1.0,False
Horizontal,STR,Vo2max,0.04666605575586785,0.05096658076665668,0.2420078543103152,-0.48280992002093587,0.5769165249878395,0.1186206466998101,43,1.0,False
Horizontal,UTL,Vo2max,-0.022299123808478396,-0.05722854165473839,0.24510091360790018,-0.5004570963797097,0.45604609687136255,0.5059169405730017,44,1.0,False
Horizontal,UTR,Vo2max,-0.08229089963535251,-0.13926965025761356,0.21331308087678674,-0.4268201732430656,0.3783252302647902,0.013453484528326953,44,1.0,False
Sagittal,MTL,WanT,0.15906546850151293,0.198984037933268,0.429519575314988,-0.6288649524796959,0.7912285588085479,0.008055685966383019,57,0.9666823159659622,False
Sagittal,MTR,WanT,0.21280216731404117,0.21004683815482658,0.3741571029896045,-0.49479771105887166,0.7488974689596213,0.0002249348475833687,58,0.026992181710004247,True
Sagittal,SCML,WanT,0.340125781860427,0.4797172528569755,0.4158970407647804,-0.6467966129261142,0.8472309170103812,1.7451225935456194e-06,58,0.00020941471122547432,True
Sagittal,SCMR,WanT,0.25345333675709913,0.2509887255880313,0.41637043681333324,-0.6366547364114792,0.8145249380299063,0.0001146002301171451,57,0.013752027614057413,True
Sagittal,STL,WanT,0.18960870788407103,0.25886005018936076,0.41460543624983665,-0.6848605346066757,0.7276875107083884,0.001367326334582927,58,0.16407916014995125,False
Sagittal,STR,WanT,0.173600801113033,0.19170289512680813,0.4236618974849697,-0.7366706817794716,0.8144892125502418,0.00256804374219733,57,0.3081652490636796,False
Sagittal,UTL,WanT,0.2845158092517251,0.4000026669082233,0.4326650457345743,-0.6831210829191506,0.8413681274186542,2.8549382222618214e-05,58,0.003425925866714186,True
Sagittal,UTR,WanT,0.2804078856757376,0.3426601665685269,0.42935311203568083,-0.5569085574335673,0.8806116175881692,4.0659467891443016e-05,57,0.004879136146973162,True
Frontal,MTL,WanT,0.07816023756077858,0.05584083996022632,0.37382024551556464,-0.5450244437757472,0.6953961256231428,0.13578021187422395,54,1.0,False
Frontal,MTR,WanT,0.04274320769508121,0.07621267437763282,0.3667754976558252,-0.6164947777823141,0.6799897080340279,0.3567162282840318,55,1.0,False
Frontal,SCML,WanT,0.12061444269059658,0.18100302973760843,0.38628176298319106,-0.6232773220194439,0.7200437477555837,0.0247391995341531,55,1.0,False
Frontal,SCMR,WanT,0.06550523340388438,0.10768021203627096,0.4107081666413941,-0.756451868839633,0.750492433622849,0.22015807331573622,54,1.0,False
Frontal,STL,WanT,0.1205767847885084,0.1459800381269186,0.36261904283646573,-0.5426511451489073,0.722397938274347,0.02225350516901446,55,1.0,False
Frontal,STR,WanT,0.09018400677826215,0.05782434821841106,0.4110085529028734,-0.6703192758035182,0.7367216006276532,0.12014998868815907,54,1.0,False
