angle,muscle,third,mean_r,median_r,sd_r,se_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Sagittal,UTR,Mid (11-20s),0.15506650920024845,0.1740776559556978,0.47755831940151805,0.0643939506517361,-0.6986476286510502,0.9039769414934271,0.024205653426857997,55,1.0,False
Frontal,MTL,Mid (11-20s),0.09519269850072694,0.06793788986735912,0.375659938932824,0.056632866645818174,-0.5697078093969475,0.7600863682378678,0.11508784229385832,44,1.0,False
Frontal,MTR,Mid (11-20s),0.05673658771120851,0.051486271408057706,0.36398429430660284,0.054872696990786125,-0.5662242935905747,0.7911949116650581,0.4115442680527013,44,1.0,False
Frontal,SCML,Mid (11-20s),0.055713887427437575,0.03553345272593507,0.39027051353615155,0.05883549364266968,-0.686727470307204,0.7817359599705715,0.36417348785140435,44,1.0,False
Frontal,SCMR,Mid (11-20s),0.07175004214980459,0.11396057645963792,0.4106593646882364,0.06262496600865176,-0.7250334370554814,0.7817359599705715,0.24632056376242983,43,1.0,False
Frontal,STL,Mid (11-20s),0.0428836454128241,0.12440027447614317,0.3787413395923338,0.05709740527383397,-0.7508702219077283,0.6965363480198303,0.3718787140428632,44,1.0,False
Frontal,STR,Mid (11-20s),0.026049482996967816,0.07705141285294195,0.3910023956523955,0.05962730633361375,-0.6387619993799507,0.6262173068981558,0.6081469477501777,43,1.0,False
Frontal,UTL,Mid (11-20s),0.1261914138656777,0.1648887223940012,0.3433935671799436,0.0517685280798897,-0.5086945243994836,0.705339036609811,0.02292719894006583,44,1.0,False
Frontal,UTR,Mid (11-20s),0.06025584243388152,0.037986858819879316,0.38800373878083977,0.05917001544778346,-0.6212523990752261,0.6380856314057367,0.28206062216888206,43,1.0,False
Horizontal,MTL,Mid (11-20s),-0.08785447196493902,-0.13762047064079508,0.35518780884079587,0.06183026118704624,-0.7147604746177473,0.5506833785862008,0.16331020491444648,33,1.0,False
Horizontal,MTR,Mid (11-20s),-0.09448742395305473,-0.14213381090374028,0.3404051290967026,0.058378998015337566,-0.6701005359618855,0.5271765279389086,0.1346181121400021,34,1.0,False
Horizontal,SCML,Mid (11-20s),-0.008945425658032524,0.0,0.3781687702514099,0.06485540904319928,-0.6304833349006607,0.55269655765934,0.8079139124557939,34,1.0,False
Horizontal,SCMR,Mid (11-20s),-0.03585092444936651,-0.07121672619664901,0.3615985067118047,0.06201363229071849,-0.6116693490132873,0.6092717958449423,0.6230571193910049,34,1.0,False
Horizontal,STL,Mid (11-20s),-0.09527653786463913,-0.10295343897225928,0.3469648148661153,0.05950397484377129,-0.7477619609628439,0.532265738153538,0.13456825020729854,34,1.0,False
Horizontal,STR,Mid (11-20s),-0.04778733130785517,-0.14213381090374028,0.42071970520769375,0.07323790009692753,-0.687181853034847,0.7938038752071811,0.39388506456933337,33,1.0,False
Horizontal,UTL,Mid (11-20s),-0.04534052516239681,-0.07905286671485953,0.392300376367214,0.06727895949785091,-0.7332534971170626,0.7009857573016139,0.5726001787998977,34,1.0,False
Horizontal,UTR,Mid (11-20s),-0.04982120599749407,-0.1740776559556978,0.4008590971694158,0.06978061200376921,-0.6299199617942495,0.7369450611056587,0.38959169025757656,33,1.0,False
Sagittal,MTL,Late (21-30s),0.009536456785999351,-0.04899932420248884,0.3841356471856636,0.051332285064836676,-0.5933108277784941,0.806017189800922,0.8575786032676906,56,1.0,False
Sagittal,MTR,Late (21-30s),-0.04173488242412553,0.05976143046671969,0.3977811518642753,0.052687400667483675,-0.6876429174725474,0.6138060764920747,0.44079531873421973,57,1.0,False
Sagittal,SCML,Late (21-30s),0.15687319523417645,0.1926285321323549,0.4367730180582616,0.057851999511112216,-0.5826938465710528,0.8542557223296358,0.009715144813384513,57,0.6994904265636849,False
Sagittal,SCMR,Late (21-30s),0.14517831230200287,0.12091819872587134,0.43963970674667163,0.05874932700956476,-0.6489626856448194,0.8672675340665565,0.021265719373768366,56,1.0,False
Sagittal,STL,Late (21-30s),0.04522393861110657,-0.032186034291019204,0.39442600804019484,0.052243001011723515,-0.5323179251217505,0.7568239870971867,0.6392346699849327,57,1.0,False
Sagittal,STR,Late (21-30s),0.03414693964096441,-0.011607108814233703,0.41387545582346896,0.05530643416022553,-0.5301595541515436,0.8151729980989584,0.6968292448978748,56,1.0,False
Sagittal,UTL,Late (21-30s),0.16896239993246306,0.1977702759261647,0.4037064418812392,0.05347222450272999,-0.4616415581875622,0.8749346998473382,0.003561763007718302,57,0.25644693655571776,False
Sagittal,UTR,Late (21-30s),0.14096477365727372,0.1754592457337567,0.4170851645781532,0.05573534953420257,-0.7009605148218656,0.7560461814075748,0.014373563529261774,56,1.0,False
Frontal,MTL,Late (21-30s),0.1275173344185451,0.22641737549374064,0.44766980630720804,0.06907695079008302,-0.7720022623416949,0.8685018313865441,0.060241600082694635,42,1.0,False
Frontal,MTR,Late (21-30s),0.1592945198663009,0.166013069377609,0.3748061002068094,0.05715739443347739,-0.7556614238206074,0.7167412164538319,0.006357136532365805,43,0.45771383033033797,False
Frontal,SCML,Late (21-30s),0.07222637571034904,0.14907119849998599,0.35967903492788755,0.05485053860511383,-0.7671539142390357,0.6540194037756998,0.09422925937201919,43,1.0,False
Frontal,SCMR,Late (21-30s),0.015168346026984582,0.04413674147523748,0.3890654248543581,0.05933192105613704,-0.765460037291878,0.6541958483909734,0.7361712244643933,43,1.0,False
Frontal,STL,Late (21-30s),0.12039062568122963,0.05976143046671969,0.3486435042072305,0.0531676359473521,-0.3949240501448928,0.6700120571228388,0.03449092231156879,43,1.0,False
Frontal,STR,Late (21-30s),0.03188293454249258,0.014712247158412494,0.34408450915402605,0.052472395719585,-0.5811114633683502,0.5896732530300729,0.47662070833991366,43,1.0,False
Frontal,UTL,Late (21-30s),0.11403518522689852,0.1700840128541523,0.4552643667829156,0.06942716505777319,-0.8263978049779976,0.8310554670728449,0.07576050996321657,43,1.0,False
Frontal,UTR,Late (21-30s),0.13955840084328058,0.14126536736634382,0.3077737226571466,0.047490516436301505,-0.49853418536880933,0.580116878320464,0.004536757209456924,42,0.32664651908089853,False
Horizontal,MTL,Late (21-30s),-0.03166677867014525,-0.02886751345948129,0.3176884264251289,0.04902038844158295,-0.5159878350069642,0.5063675251095262,0.5170028364890409,42,1.0,False
Horizontal,MTR,Late (21-30s),0.026771395937275153,0.0,0.34281172103420704,0.05227829735097628,-0.5369409926039864,0.5805437045694445,0.6846761721440466,43,1.0,False
Horizontal,SCML,Late (21-30s),-0.020047787133014822,-0.05773502691896258,0.3874806153480056,0.05909023987216877,-0.831067551673407,0.5703663195800113,0.8414194453544752,43,1.0,False
Horizontal,SCMR,Late (21-30s),0.02979183190195349,0.0,0.36580421381400413,0.05578461962827807,-0.6559785991422421,0.7014372431744818,0.5381545646641809,43,1.0,False
Horizontal,STL,Late (21-30s),0.010094756678499121,-0.009631426606617746,0.38084588503070543,0.0580784529842381,-0.6495069483772207,0.7489582301288841,0.9037037308003748,43,1.0,False
Horizontal,STR,Late (21-30s),-0.031169950771766337,-0.05976143046671969,0.3304523525741222,0.05039351133059945,-0.5747029769343982,0.7697330211070751,0.4160252936420177,43,1.0,False
Horizontal,UTL,Late (21-30s),0.013875960372214492,0.05773502691896258,0.3736750057090372,0.05698490413965607,-0.6268379198139636,0.5843729993542903,0.7581284826701193,43,1.0,False
Horizontal,UTR,Late (21-30s),0.0550490141918564,0.05773502691896258,0.3016847650153393,0.046006495355967035,-0.4936338998124982,0.5769001268345566,0.24104580997504854,43,1.0,False
