pct_center,angle,muscle,mean_r,sd_r,n_subjects,se_r
50,Sagittal,SCMR,0.13661952174690367,0.26754599250503536,56,0.03575233711279397
50,Sagittal,STL,-0.04447241382252815,0.23991090412268892,57,0.03177697553232309
50,Sagittal,STR,-0.0009778468260653217,0.25839047059460557,56,0.03452887903472503
50,Sagittal,UTL,0.05797580438277008,0.2573354577555759,57,0.0340849140417405
50,Sagittal,UTR,0.01575305802502388,0.2600193188801591,57,0.03444040013187844
60,Frontal,MTL,0.014223054674782958,0.16109677424101113,45,0.024014889210589196
60,Frontal,MTR,0.006690723199088453,0.1569229092006264,45,0.023392686146641854
60,Frontal,SCML,0.06491905653343144,0.2208167990375292,45,0.03291742488145503
60,Frontal,SCMR,0.08542915994988087,0.24361234866817372,45,0.036315584785361114
60,Frontal,STL,-0.030989994121632218,0.18801957914701498,45,0.028028304004908494
60,Frontal,STR,0.03079106638437463,0.21685804846018034,44,0.032692580886869396
60,Frontal,UTL,0.03260616158362078,0.18376208278924858,45,0.02739363392024693
60,Frontal,UTR,0.0009071962489147153,0.1920917994440517,45,0.028635354765143724
60,Horizontal,MTL,0.020351841678975306,0.16378496512334212,33,0.028511302809457118
60,Horizontal,MTR,-0.0050848934093053015,0.15903679450737382,34,0.02727458524361453
60,Horizontal,SCML,-0.02987303940503198,0.16814250891794302,34,0.028836202381738903
60,Horizontal,SCMR,-0.056971065170281464,0.21756458150079175,34,0.03731201790450783
60,Horizontal,STL,0.05092926097698433,0.1789236610784946,34,0.030685154723479602
60,Horizontal,STR,0.01898380546270395,0.1761595613096233,33,0.030665443506963264
60,Horizontal,UTL,0.03274892036777561,0.14867040853785266,34,0.025496764716800496
60,Horizontal,UTR,-0.01791920701189971,0.16469552447339855,34,0.028245049426491288
60,Sagittal,MTL,-0.02483546949719401,0.1918933771603218,56,0.025642831147318426
60,Sagittal,MTR,-0.029474447939669832,0.21305439091352774,57,0.028219743457975215
60,Sagittal,SCML,0.14459313822910663,0.2904233271949518,57,0.03846750941162019
60,Sagittal,SCMR,0.14647524478232715,0.26944144114934815,56,0.0360056270921241
60,Sagittal,STL,-0.05332570167056828,0.22967304820993617,57,0.03042093838998202
60,Sagittal,STR,-0.013860252660188397,0.27802664731214144,56,0.037152873522695265
60,Sagittal,UTL,0.056826060731067954,0.21685664312405137,57,0.02872336406623128
60,Sagittal,UTR,0.06261719667222816,0.23122160112157006,57,0.030626049233790656
70,Frontal,MTL,-0.009779723086125484,0.14930903325233363,46,0.022014415934320655
70,Frontal,MTR,0.004534605289750125,0.1869053848504342,46,0.027557695558231895
70,Frontal,SCML,0.07215893406469825,0.25402318375694155,46,0.03745367512181835
70,Frontal,SCMR,0.0646864178828201,0.26663008044649616,46,0.039312460630768986
70,Frontal,STL,-0.037960102301846994,0.2409117123766118,46,0.03552049413343358
70,Frontal,STR,-0.018168292112906093,0.21890784769419708,45,0.03263285521682635
70,Frontal,UTL,0.052762294487019926,0.2531291600121234,46,0.037321858512033436
70,Frontal,UTR,0.04804109384556897,0.25291100266478544,46,0.03728969296599237
70,Horizontal,MTL,0.026450303549449834,0.158785143291585,36,0.0264641905485975
70,Horizontal,MTR,0.008041485968157985,0.18583138363998455,37,0.030550491279966802
70,Horizontal,SCML,-0.02214059970286336,0.2210430010149568,37,0.036339245517795965
