subject,angle_plane,rho,p_value,n,x_min,x_max,power_source
subject_584,angle_horizontal,-0.4401654783045835,0.13226549708781854,13,175.0,310.0,file
subject_585,angle_horizontal,,,10,153.33333333333334,340.0,file
subject_586,angle_horizontal,0.9027075674773933,0.002137646909108694,8,230.0,380.0,file
subject_587,angle_horizontal,0.044543540318737404,0.9244555343139822,7,130.0,225.0,file
subject_588,angle_horizontal,-0.9296005160692783,1.2090577583022408e-05,12,166.66666666666666,340.0,file
subject_590,angle_horizontal,0.30806632821404095,0.3567090515195438,11,250.0,460.0,file
subject_591,angle_horizontal,-0.6546536707079772,0.07814074941121586,8,230.0,380.0,file
subject_594,angle_horizontal,0.8247860988423227,0.011742395623903936,8,135.0,245.0,file
subject_595,angle_horizontal,-0.5477225575051661,0.12687036692367107,9,140.0,310.0,file
subject_596,angle_horizontal,0.0,1.0,10,190.0,332.5,file
subject_597,angle_horizontal,-0.8353813836471727,0.0026207057973530352,10,137.5,270.0,file
subject_598,angle_horizontal,-0.5222329678670935,0.12150291881711323,10,107.5,265.0,file
subject_600,angle_horizontal,-0.42857142857142866,0.3373683110858241,7,155.0,252.5,file
subject_601,angle_horizontal,-0.21004785188952266,0.5353170584934902,11,190.0,347.5,file
subject_602,angle_horizontal,-0.17573375583870182,0.6510838503222887,9,147.5,275.0,file
subject_603,angle_horizontal,0.04970267328047151,0.8846146582498631,11,182.5,347.5,file
subject_604,angle_horizontal,0.7583446314747537,0.006829095182167789,11,172.5,315.0,file
subject_605,angle_horizontal,-0.03333333333333333,0.9321567355405039,9,200.0,370.0,file
subject_606,angle_horizontal,-0.14285714285714288,0.7871720116618076,6,170.0,280.0,file
subject_607,angle_horizontal,0.05462309935991352,0.8808678467694372,10,152.5,295.0,file
subject_608,angle_horizontal,-0.9285714285714288,0.002519472403794688,7,200.0,320.0,manual
subject_609,angle_horizontal,-0.06461347526461296,0.8502967253836617,11,100.0,300.0,manual
subject_610,angle_horizontal,0.2577900234736241,0.5376312903041891,8,180.0,320.0,manual
subject_611,angle_horizontal,0.23676242006797354,0.4587523557610519,12,180.0,400.0,manual
subject_612,angle_horizontal,-0.3536651113250804,0.31607819910741497,10,130.0,265.0,manual
subject_613,angle_horizontal,0.7999999999999999,0.2000000000000001,4,220.0,280.0,manual
subject_614,angle_horizontal,-0.40451991747794525,0.21719492230471585,11,180.0,380.0,manual
subject_615,angle_horizontal,0.12972986097979458,0.7209439339888961,10,160.0,205.0,manual
subject_616,angle_horizontal,0.9030303030303028,0.00034361219776328245,10,160.0,340.0,manual
