subject,angle_plane,angle_name,power_source,slope_per_watt,slope_per_100w,slope_per_pct_wmax,slope_per_10pct_wmax,intercept,r_squared,p_value,n_minutes
subject_600,angle_sagittal,Sagittal (Flexion/Extension),file,0.03175178687459389,3.175178687459389,0.08017326185834957,0.8017326185834956,-22.97621182586095,0.14259124041911875,0.4036545468267806,7
subject_601,angle_sagittal,Sagittal (Flexion/Extension),file,0.014172693403462631,1.417269340346263,0.04925010957703266,0.4925010957703266,2.5566951566951577,0.12847604182813685,0.2790643732296851,11
subject_602,angle_sagittal,Sagittal (Flexion/Extension),file,-0.007242406766628216,-0.7242406766628215,-0.01991661860822757,-0.1991661860822757,-24.652621587850827,0.050014645099683494,0.562969125566206,9
subject_603,angle_sagittal,Sagittal (Flexion/Extension),file,0.043308270676691726,4.330827067669173,0.1504962406015038,1.504962406015038,-14.196992481203006,0.53644949734289,0.01036766676182704,11
subject_604,angle_sagittal,Sagittal (Flexion/Extension),file,0.0017282062898780523,0.17282062898780523,0.005443849813115863,0.05443849813115863,4.54039481632499,0.15262117604984152,0.2348548562486208,11
subject_605,angle_sagittal,Sagittal (Flexion/Extension),file,0.050904700115340255,5.090470011534025,0.1883473904267589,1.8834739042675892,-40.187283737024224,0.15341638522208165,0.2971689525017767,9
subject_606,angle_sagittal,Sagittal (Flexion/Extension),file,0.0793470790378007,7.934707903780069,0.2221718213058419,2.221718213058419,-21.978694158075605,0.5624613349312785,0.08595441700577856,6
subject_607,angle_sagittal,Sagittal (Flexion/Extension),file,0.0840387248813732,8.40387248813732,0.24791423840005097,2.4791423840005096,-13.647447533518042,0.789500421189555,0.0005890809372466291,10
subject_608,angle_sagittal,Sagittal (Flexion/Extension),manual,0.07572278911564626,7.572278911564625,0.24231292517006806,2.4231292517006806,-43.01785714285714,0.35166847233426024,0.16050687716168727,7
subject_609,angle_sagittal,Sagittal (Flexion/Extension),manual,-0.007651515151515147,-0.7651515151515147,-0.022954545454545425,-0.22954545454545425,-25.340909090909093,0.01028611762333307,0.7666837042871407,11
subject_610,angle_sagittal,Sagittal (Flexion/Extension),manual,0.17160409035409036,17.160409035409035,0.5491330891330891,5.491330891330891,-68.95230463980464,0.3182410965068098,0.1452449262991318,8
subject_611,angle_sagittal,Sagittal (Flexion/Extension),manual,-0.013738344988344987,-1.3738344988344986,-0.05495337995337994,-0.5495337995337994,11.296620046620045,0.08245520871321418,0.3654890433023058,12
subject_612,angle_sagittal,Sagittal (Flexion/Extension),manual,0.20612794612794613,20.612794612794612,0.5462390572390573,5.462390572390573,-32.79360269360269,0.6996560979607441,0.002556535570387341,10
subject_613,angle_sagittal,Sagittal (Flexion/Extension),manual,0.0367948717948718,3.67948717948718,0.14717948717948734,1.4717948717948734,-6.766025641025643,0.4066876917095089,0.36227929960717997,4
subject_614,angle_sagittal,Sagittal (Flexion/Extension),manual,0.1366371027346637,13.66371027346637,0.519220990391722,5.19220990391722,-29.88532889874353,0.6231574977118394,0.0038599925832781892,11
subject_615,angle_sagittal,Sagittal (Flexion/Extension),manual,0.4865345765345766,48.65345765345766,0.9973958818958819,9.973958818958819,-83.45858585858588,0.601171629342664,0.008410899304844609,10
subject_616,angle_sagittal,Sagittal (Flexion/Extension),manual,0.30482323232323233,30.482323232323232,1.03639898989899,10.3639898989899,-83.74747474747475,0.7418557855140342,0.001364519095488702,10
subject_617,angle_sagittal,Sagittal (Flexion/Extension),manual,0.001986531986531987,0.1986531986531987,0.0056616161616161766,0.056616161616161766,-6.245959595959596,0.00403914056000288,0.861535296309677,10
subject_618,angle_sagittal,Sagittal (Flexion/Extension),manual,0.06260198135198135,6.260198135198134,0.2691885198135199,2.691885198135199,-35.12291181041181,0.325315819020904,0.05281082350698498,12
subject_619,angle_sagittal,Sagittal (Flexion/Extension),manual,0.040476190476190485,4.047619047619048,0.15380952380952392,1.5380952380952393,-25.80952380952381,0.45748206777145684,0.0952346690981361,7
subject_620,angle_sagittal,Sagittal (Flexion/Extension),manual,0.01924963924963925,1.924963924963925,0.06159884559884559,0.6159884559884559,-5.296248196248197,0.2826428298017989,0.09234877490982885,11
subject_621,angle_sagittal,Sagittal (Flexion/Extension),manual,0.11515151515151516,11.515151515151516,0.32818181818181824,3.281818181818182,-23.748737373737377,0.4464031358242867,0.017558538091603522,12
subject_623,angle_sagittal,Sagittal (Flexion/Extension),manual,0.017980668756530833,1.7980668756530833,0.06832654127481717,0.6832654127481718,-27.980512016718915,0.11656380127444035,0.30415166663790133,11
subject_624,angle_sagittal,Sagittal (Flexion/Extension),manual,-0.029998726945783805,-2.9998726945783805,-0.09599592622650818,-0.9599592622650819,-5.945795738451012,0.29648270853596104,0.03584602779329417,15
subject_625,angle_sagittal,Sagittal (Flexion/Extension),manual,-0.03880952380952382,-3.8809523809523823,-0.12807142857142864,-1.2807142857142864,-33.378968253968246,0.4375391878209743,0.007240395934056052,15
subject_626,angle_sagittal,Sagittal (Flexion/Extension),file,-0.0010367379555443392,-0.10367379555443393,-0.003265724559964638,-0.032657245599646376,-17.356612621706304,0.00016560307548790673,0.9683379600276596,12
subject_627,angle_sagittal,Sagittal (Flexion/Extension),file,0.0017554240631163741,0.17554240631163742,0.004827416173570031,0.04827416173570031,4.634960552268242,0.021803673451078504,0.6648182086003,11
subject_628,angle_sagittal,Sagittal (Flexion/Extension),file,0.014209738543358493,1.4209738543358492,0.035524346358396235,0.35524346358396236,2.0173800197445937,0.08847597997150063,0.4039070201143015,10
subject_629,angle_sagittal,Sagittal (Flexion/Extension),file,0.030386030010090156,3.0386030010090157,0.0759650750252254,0.759650750252254,-3.279717150017901,0.3070202301651764,0.15413510568309116,8
subject_630,angle_sagittal,Sagittal (Flexion/Extension),file,-0.08287557670126874,-8.287557670126874,-0.23205161476355243,-2.3205161476355243,26.91821655132641,0.7246937788749074,0.003599263977205171,9
subject_631,angle_sagittal,Sagittal (Flexion/Extension),file,0.10290164452877926,10.290164452877926,0.30870493358633777,3.0870493358633775,-19.946315623023406,0.7248836907497166,0.003590235550680324,9
subject_632,angle_sagittal,Sagittal (Flexion/Extension),file,-0.003427768166089965,-0.3427768166089965,-0.011654411764705878,-0.11654411764705878,3.6651888696655126,0.010534197854101004,0.7927379638380007,9
subject_541,angle_frontal,Frontal (Lateral Bending),file,-0.002936689549961861,-0.2936689549961861,-0.005873379099923722,-0.058733790999237215,0.2402745995423341,0.04123861921223039,0.6623169307506533,7
subject_560,angle_frontal,Frontal (Lateral Bending),file,0.04611220472440945,4.611220472440945,0.07377952755905509,0.7377952755905509,-3.1322178477690295,0.46112204724409456,0.044273272010635356,9
subject_570,angle_frontal,Frontal (Lateral Bending),file,0.03510942291608587,3.5109422916085866,0.09128449958182325,0.9128449958182325,1.3362663785893494,0.5693801784781736,0.08296014302666421,6
subject_571,angle_frontal,Frontal (Lateral Bending),file,-0.0012019230769230727,-0.12019230769230727,-0.0036057692307692175,-0.03605769230769217,-9.673076923076925,0.48076923076923056,0.12661387373191096,6
subject_572,angle_frontal,Frontal (Lateral Bending),file,-0.02435518731988472,-2.435518731988472,-0.06575900576368876,-0.6575900576368876,-0.27921941471113154,0.38768261478816896,0.017395162030915016,14
subject_573,angle_frontal,Frontal (Lateral Bending),file,0.0388289222653299,3.8828922265329897,0.13201833570212168,1.3201833570212167,-4.610874068120639,0.25721474714163645,0.07689484487771027,13
subject_574,angle_frontal,Frontal (Lateral Bending),file,0.05666823751178132,5.666823751178132,0.16433788878416586,1.6433788878416586,-20.125903235940935,0.6190960257123059,0.0205111543030364,8
subject_575,angle_frontal,Frontal (Lateral Bending),file,-0.013555555555555559,-1.3555555555555558,-0.04066666666666668,-0.4066666666666668,-28.274814814814814,0.2771694599627559,0.14536123602178805,9
subject_577,angle_frontal,Frontal (Lateral Bending),file,-0.004810996563573883,-0.48109965635738833,-0.013951890034364253,-0.13951890034364253,1.3264604810996565,0.5051546391752578,0.11340391559981915,6
subject_579,angle_frontal,Frontal (Lateral Bending),file,-0.060393786077632905,-6.0393786077632905,-0.21741762987947827,-2.174176298794783,26.890933784215797,0.10401476767663488,0.26075389436697627,14
subject_580,angle_frontal,Frontal (Lateral Bending),file,-0.003492552645095015,-0.3492552645095015,-0.01606574216743707,-0.1606574216743707,20.941705187467896,0.2647732478240948,0.08695231840785878,12
subject_581,angle_frontal,Frontal (Lateral Bending),file,-0.018846153846153846,-1.8846153846153846,-0.05653846153846154,-0.5653846153846154,15.662820512820513,0.4954026694177572,0.1185714998322645,6
